,track_name,artist(s)_name,artist_count,released_year,released_month,released_day,in_spotify_playlists,in_spotify_charts,streams,in_apple_charts
453,Mistletoe,Justin Bieber,1,2011,1,1,9577,0,629173063,111
454,Sleigh Ride,The Ronettes,1,1963,11,22,10114,0,404664135,74
455,Seek & Destroy,SZA,1,2022,12,9,1007,0,98709329,31
456,Love Language,SZA,1,2022,12,9,1127,0,110849052,63
457,Happy Xmas (War Is Over),"John Lennon, The Harlem Community Choir, The Plastic Ono Band, Yoko Ono",4,1971,12,1,10829,0,460492795,1
458,Used (feat. Don Toliver),"SZA, Don Toliver",2,2022,12,8,1042,0,94005786,29
460,The Christmas Song (Merry Christmas To You) - Remastered 1999,Nat King Cole,1,1946,11,1,11500,0,389771964,72
461,Wonderful Christmastime - Edited Version / Remastered 2011,Paul McCartney,1,1979,11,16,1685,0,403939487,0
463,Ghost in the Machine (feat. Phoebe Bridgers),"SZA, Phoebe Bridgers",2,2022,12,9,1634,0,110073250,20
465,Merry Christmas Everyone,Shakin' Stevens,1,1984,1,1,1087,0,351636786,35
466,Let It Snow! Let It Snow! Let It Snow!,"Frank Sinatra, B. Swanson Quartet",2,1950,1,1,10585,0,473248298,108
467,SOS,SZA,1,2022,12,9,827,0,73981293,18
468,Open Arms (feat. Travis Scott),"SZA, Travis Scott",2,2022,12,8,1420,4,155653938,87
469,White Christmas,"Bing Crosby, John Scott Trotter & His Orchestra, Ken Darby Singers",3,1942,1,1,11940,0,395591396,79
470,Driving Home for Christmas - 2019 Remaster,Chris Rea,1,1986,1,1,888,0,429504768,0
471,Christmas (Baby Please Come Home),Darlene Love,1,1963,11,22,9122,0,242767149,58
472,Gone Girl,SZA,1,2022,12,9,892,0,65362788,17
473,F2F,SZA,1,2022,12,9,989,0,67540165,9
474,Notice Me,SZA,1,2022,12,9,819,0,62019074,22
476,It's Beginning to Look a Lot Like Christmas (with Mitchell Ayres & His Orchestra),"Perry Como, The Fontane Sisters, Mitchell Ayres & His Orchestra",3,1958,1,1,6290,0,295998468,39
478,Antidepresan,"Mabel Matiz, Mert Demir",2,2022,11,4,313,2,136689549,6
479,Wild Flower (with youjeen),RM,1,2022,12,2,353,2,135611421,74
480,I Hate U,SZA,1,2021,12,3,4094,0,356709897,96
481,Raindrops (Insane) [with Travis Scott],"Travis Scott, Metro Boomin",2,2022,12,2,880,0,110649992,7
482,SPIT IN MY FACE!,ThxSoMch,1,2022,10,31,573,0,301869854,0
483,Deck The Hall - Remastered 1999,Nat King Cole,1,1959,1,1,3299,0,127027715,39
484,Smoking on my Ex Pack,SZA,1,2022,12,9,811,0,57144458,11
485,Conceited,SZA,1,2022,12,9,899,0,56870689,14
486,Snow On The Beach (feat. Lana Del Rey),"Taylor Swift, Lana Del Rey",2,2022,10,21,2415,0,323437194,57
487,Maroon,Taylor Swift,1,2022,10,21,2304,0,317726339,16
488,Tubarï¿½ï¿½o Te,"Dj LK da Escï¿½ï¿½cia, Tchakabum, mc jhenny, M",4,2022,9,28,1003,0,116144341,0
489,Bejeweled,Taylor Swift,1,2022,10,21,2699,0,328207708,35
490,Tarot,"Bad Bunny, Jhay Cortez",2,2022,5,6,2482,20,608228647,77
491,You Make It Feel Like Christmas (feat. Blake Shelton),"Gwen Stefani, Blake Shelton",2,2005,9,20,2577,0,180577478,56
492,Desesperados,"Chencho Corleone, Rauw Alejandro",2,2021,6,25,6821,34,809306935,58
493,Too Late,SZA,1,2022,12,8,714,0,49262961,9
494,Party,"Bad Bunny, Rauw Alejandro",2,2022,5,6,3185,4,614555082,64
495,Run Rudolph Run - Single Version,Chuck Berry,1,1958,1,1,8612,0,245350949,30
496,Jingle Bells - Remastered 1999,Frank Sinatra,1,1957,1,1,4326,0,178660459,3
497,Far,SZA,1,2022,12,9,680,0,51641685,15
498,On Time (with John Legend),"John Legend, Metro Boomin",2,2022,12,2,398,0,78139948,2
499,GATï¿½ï¿½,"Maldy, Karol G",2,2022,8,25,3328,13,322336177,50
502,Is There Someone Else?,The Weeknd,1,2022,1,7,2881,6,391251368,89
503,Fingers Crossed,"Lauren Spencer Smith, Lauren Spencer Smith, Lauren Spencer Smith",3,2022,1,5,2235,0,349585590,7
505,Do It To It,"Cherish, ACRAZE",2,2021,8,20,12403,0,674772936,63
508,How Do I Make You Love Me?,The Weeknd,1,2022,1,7,1915,0,119238316,47
509,Gasoline,The Weeknd,1,2022,1,7,2297,0,116903579,29
510,Infinity,Jaymes Young,1,2017,6,23,4375,0,888046992,0
512,Take My Breath,The Weeknd,1,2021,8,6,2597,0,130655803,80
514,"Here We Goï¿½ï¿½ï¿½ Again (feat. Tyler, the Cr","The Weeknd, Tyler, The Creator",3,2022,1,7,1420,0,88103848,18
515,Best Friends,The Weeknd,1,2022,1,7,1292,0,101114984,18
516,Kiss Me More (feat. SZA),"SZA, Doja Cat",2,2021,4,9,15867,0,1575467011,65
517,I Heard You're Married (feat. Lil Wayne),"The Weeknd, Lil Wayne",2,2022,1,7,1178,0,91656026,10
521,Dawn FM,The Weeknd,1,2022,1,7,811,0,53933526,8
522,Surface Pressure,Jessica Darrow,1,2021,11,19,1756,0,267758538,48
523,Starry Eyes,The Weeknd,1,2022,1,7,1014,0,74601456,17
524,THATS WHAT I WANT,Lil Nas X,1,2021,9,17,7963,0,920797189,7
525,One Right Now (with The Weeknd),"The Weeknd, Post Malone",2,2021,11,5,4771,0,539595276,18
526,Beggin,Mï¿½ï¿½ne,1,2017,12,8,8559,0,1367810478,64
527,Mon Amour - Remix,"Aitana, zzoilo",2,2020,9,21,3221,2,578207856,13
528,Lo Siento BB:/ (with Bad Bunny & Julieta Venegas),"Julieta Venegas, Bad Bunny, Tainy",3,2021,10,5,3423,26,775542072,65
530,The Motto,"Tiï¿½ï¿½sto, Ava",2,2021,11,4,9151,6,656013912,107
536,Malvadï¿½ï¿,"Xamï¿½ï¿½, Gustah, Neo B",3,2021,11,30,648,1,240684449,3
538,Donï¿½ï¿½ï¿½t Break My,The Weeknd,1,2022,1,7,1184,0,63803529,5
539,Oh My God,Adele,1,2021,11,19,4431,0,466214729,7
540,Entre Nosotros (Remix) [con Nicki Nicole],"Lit Killah, Maria Becerra, Tiago pzk, NICKI NICOLE",4,2022,1,5,759,3,236940480,0
541,A Tale By Quincy,The Weeknd,1,2022,1,7,733,0,41924466,2
542,I AM WOMAN,Emmy Meli,1,2021,11,18,2795,0,225259194,0
543,Medallo,"Justin Quiles, Lenny Tavï¿½ï¿½rez, BL",3,2021,10,27,2780,2,393230256,21
544,It'll Be Okay,Shawn Mendes,1,2021,12,1,1950,0,287201015,8
545,Softcore,The Neighbourhood,1,2018,3,9,3947,12,599770206,102
546,Super Gremlin,Kodak Black,1,2021,10,30,2551,0,342779426,15
547,Volvï¿,"Aventura, Bad Bunny",2,2021,8,3,5375,10,673801126,24
548,Todo De Ti,Rauw Alejandro,1,2020,11,2,11975,8,1168642797,75
550,Smokin Out The Window,"Bruno Mars, Anderson .Paak, Silk Sonic",3,2021,11,5,4963,0,383550148,40
551,Meet Me At Our Spot,"THE ANXIETY, Willow, Tyler Cole",3,2020,3,13,6734,0,530511203,14
553,Tacones Rojos,Sebastian Yatra,1,2021,10,22,3047,9,510876816,31
555,Dakiti,"Bad Bunny, Jhay Cortez",2,2020,10,30,11215,21,1763363713,166
556,"Tiago PZK: Bzrp Music Sessions, Vol. 48","Bizarrap, Tiago pzk",2,2021,12,29,1678,12,374191487,4
557,Lï¿½ï¿½ï¿,Stromae,1,2022,1,9,2035,0,108809090,122
558,Nostï¿½ï¿½l,"Chris Brown, Rvssian, Rauw Alejandro",3,2021,9,8,2780,2,436695353,76
561,Sad Girlz Luv Money Remix (feat. Kali Uchis),"Kali Uchis, Amaarae, Moliy",3,2021,9,16,3643,0,354065229,3
562,Butter,BTS,1,2021,5,21,4779,6,1143647827,135
563,pushin P (feat. Young Thug),"Young Thug, Future, Gunna",3,2022,1,7,3517,0,311395144,28
564,You Right,"Doja Cat, The Weeknd",2,2021,6,24,5073,0,672656250,9
565,deja vu,Olivia Rodrigo,1,2021,4,1,7545,4,1256880657,39
567,TO THE MOON,Jnr Choi,1,2021,11,5,2979,0,245095641,0
568,Lost in the Fire,"The Weeknd, Gesaffelstein",2,2019,1,11,7731,2,686734357,145
569,Salimo de Noche,"Trueno, Tiago pzk",2,2021,10,21,1057,0,261414174,5
570,Volando - Remix,"Sech, Bad Bunny, Mora",3,2021,7,8,3272,19,610045621,34
571,Leave The Door Open,"Bruno Mars, Anderson .Paak, Silk Sonic",3,2021,3,5,14417,0,1115880852,123
572,Knife Talk (with 21 Savage ft. Project Pat),"Drake, Project Pat, 21 Savage",3,2021,9,3,5199,0,594482982,43
573,Don't Be Shy,"Tiï¿½ï¿½sto, Kar",2,2021,8,1,6026,0,566954746,51
574,Love Grows (Where My Rosemary Goes),Edison Lighthouse,1,1970,1,1,2877,0,BPM110KeyAModeMajorDanceability53Valence75Energy69Acousticness7Instrumentalness0Liveness17Speechiness3,0
576,The Family Madrigal,"Olga Merediz, Stephanie Beatriz, Encanto - Cast",3,2021,11,19,1150,0,184937148,38
577,Phantom Regret by Jim,The Weeknd,1,2022,1,7,768,0,31959571,1
579,Freaks,Surf Curse,1,2015,5,10,3006,3,824420218,21
580,Acapulco,Jason Derulo,1,2021,9,1,3098,0,363467642,5
581,Daddy Issues,The Neighbourhood,1,2015,10,30,9771,4,1127468248,70
582,thought i was playing,"21 Savage, Gunna",2,2022,1,7,807,0,60680939,0
583,ELEVEN,IVE,1,2021,12,1,521,1,247737946,89
585,What Else Can I Do?,"Stephanie Beatriz, Diane Guerrero",2,2021,11,19,802,0,154797871,27
587,Miserable Man,David Kushner,1,2022,1,7,788,0,124407432,0
588,happier,Olivia Rodrigo,1,2021,5,21,3069,4,850608354,46
589,Praise God,Kanye West,1,2021,8,29,4651,0,376333030,6
590,Get Into It (Yuh),Doja Cat,1,2021,6,25,4999,0,516784627,19
591,Before You Go,Lewis Capaldi,1,2019,11,1,8327,24,1608045237,130
592,Sky,Playboi Carti,1,2020,12,25,3297,3,506778838,3
593,Rolling in the Deep,Adele,1,2010,11,29,35684,6,1472799873,125
594,Sobrio,Maluma,1,2021,7,8,3506,10,513643924,76
595,Peru,"Ed Sheeran, Fireboy DML",2,2021,12,23,2999,0,261286503,17
596,favorite crime,Olivia Rodrigo,1,2021,5,21,3681,0,783706581,21
597,Thunder,"Prezioso, Gabry Ponte, LUM!X",3,2021,5,7,4846,10,422691058,16
598,The Business,Tiï¿½ï¿,1,2020,1,1,14311,0,1062345656,32
600,I WANNA BE YOUR SLAVE,Mï¿½ï¿½ne,1,2021,3,19,4873,0,851070493,88
601,Vai Lï¿½ï¿½ Em Casa ,"Marï¿½ï¿½lia Mendonï¿½ï¿½a, George Henrique &",2,2021,10,22,772,0,263894529,3
602,The Feels,TWICE,1,2021,10,1,1150,0,345903614,99
604,No Lie,"Sean Paul, Dua Lipa",2,2016,11,18,7370,0,956865266,127
605,OUT OUT (feat. Charli XCX & Saweetie),"Charli XCX, Jax Jones, Joel Corry, Saweetie",4,2021,8,13,6890,0,427486004,11
606,Pope Is a Rockstar,SALES,1,2016,4,20,1966,0,156658366,2
607,2055,Sleepy hallow,1,2021,4,14,2226,0,624515457,0
608,Bored,Billie Eilish,1,2017,3,30,4204,0,777765388,45
610,Astronaut In The Ocean,Masked Wolf,1,2019,1,1,7191,0,1138474110,18
611,Ley Seca,"Anuel Aa, Jhay Cortez",2,2021,9,2,2012,0,355219175,12
612,Every Summertime,NIKI,1,2021,8,10,1211,2,290228626,2
613,Talking To The Moon,Bruno Mars,1,2010,10,4,7109,2,1062956628,0
614,you broke me first,Tate McRae,1,2020,4,17,6638,0,1180094974,19
615,The Nights,Avicii,1,2014,1,1,17354,8,1456081449,122
616,Take My Breath,The Weeknd,1,2021,8,6,6392,0,432702334,73
617,Way 2 Sexy (with Future & Young Thug),"Drake, Future, Young Thug",3,2021,9,3,5481,0,489945871,30
618,Cï¿½ï¿½,Rauw Alejandro,1,2021,6,25,2636,3,465959382,82
619,Enemy - from the series Arcane League of Legends,"Imagine Dragons, League of Legends, Arcane",3,2021,10,27,824,0,1223481149,8
621,Lucid Dreams,Juice WRLD,1,2017,6,15,14749,0,2288695111,34
622,Quï¿½ï¿½ Mï¿½ï¿,"J Balvin, Maria Becerra",2,2021,1,28,8087,0,720825549,34
623,All of Me,John Legend,1,2013,8,1,27221,0,2086124197,118
624,Smells Like Teen Spirit - Remastered 2021,Nirvana,1,1991,9,10,49991,9,1690192927,121
626,Fair Trade (with Travis Scott),"Drake, Travis Scott",2,2021,9,3,5403,6,593917618,116
627,Bar,"Tini, L-Gante",2,2021,11,11,755,4,200972675,3
628,The Rumbling (TV Size),SiM,1,2022,1,10,254,0,71014967,4
629,family ties (with Kendrick Lamar),"Kendrick Lamar, Baby Keem",2,2021,8,27,6308,5,560222750,15
630,Mr. Brightside,The Killers,1,2003,9,23,51979,15,1806617704,99
631,Blessed-Cursed,ENHYPEN,1,2022,1,10,246,0,77337771,12
632,AM Remix,"J Balvin, Nio Garcia, Bad Bunny",3,2021,6,24,6556,0,528544703,5
633,Streets,Doja Cat,1,2019,11,7,5728,0,865640097,87
634,Shallow,"Lady Gaga, Bradley Cooper",2,2018,9,27,16636,12,2159346687,155
635,Polaroid Love,ENHYPEN,1,2022,1,10,461,0,211372494,56
636,Leave Before You Love Me (with Jonas Brothers),"Marshmello, Jonas Brothers",2,2021,4,28,4893,4,651732901,24
637,Permission to Dance,BTS,1,2021,7,9,1801,2,608334048,134
638,Friday (feat. Mufasa & Hypeman) - Dopamine Re-Edit,"Riton, Nightcrawlers, Mufasa & Hypeman, Dopamine",4,2021,1,15,12043,0,863756573,54
639,RAPSTAR,Polo G,1,2021,4,9,4731,0,797402345,12
640,'Till I Collapse,"Eminem, Nate Dogg",2,2002,5,26,22923,0,1695712020,46
641,Memories,Maroon 5,1,2019,9,20,9974,2,1759567999,67
642,Se Le Ve,"Arcangel, De La Ghetto, Justin Quiles, Lenny Tavï¿½ï¿½rez, Sech, Dalex, Dimelo Flow, Rich Music",8,2021,8,12,1560,0,223319934,0
643,25k jacket (feat. Lil Baby),"Gunna, Lil Baby",2,2022,1,7,620,0,54937991,3
645,Esqueï¿½ï¿½a-Me Se For C,"Marï¿½ï¿½lia Mendonï¿½ï¿½a, Maiara &",2,2021,10,14,580,0,258316038,92
646,Miï¿½ï¿½n,"Tini, Maria Becerra",2,2021,4,29,3406,16,596152090,23
647,Sï¿½ï¿½,"Anuel Aa, Myke Towers, Jhay Cortez",3,2021,11,18,903,0,177129919,26
648,MAMIII,"Karol G, Becky G",2,2022,2,10,6809,28,716591492,102
649,Still D.R.E.,"Dr. Dre, Snoop Dogg",2,1999,1,1,33966,0,1210599487,78
650,Stay Alive (Prod. SUGA of BTS),Jung Kook,1,2022,2,11,590,5,246376690,113
651,Boyfriend,Dove Cameron,1,2022,2,11,3766,0,496311364,0
653,The Next Episode,"Dr. Dre, Snoop Dogg",2,1999,1,1,31762,0,843309044,40
654,Light Switch,Charlie Puth,1,2022,1,19,4049,0,500340342,6
655,City of Gods,"Kanye West, Alicia Keys, Fivio Foreign",3,2022,2,11,2096,0,107255472,3
656,Brividi,"Mahmood, Blanco",2,2022,2,2,1175,0,135079152,1
657,Lost,Frank Ocean,1,2012,1,1,29499,11,822239726,27
658,In Da Club,50 Cent,1,2002,1,1,30427,7,1202722675,106
659,she's all i wanna be,Tate McRae,1,2022,2,4,2711,0,343197054,12
660,Ginseng Strip 2002,Yung Lean,1,2013,8,16,4310,0,240769997,0
661,All For Us - from the HBO Original Series Euphoria,"Labrinth, Zendaya",2,2019,8,4,5342,0,426204830,123
662,Notion,The Rare Occasions,1,2016,8,5,2393,0,421135627,13
663,Formula,Labrinth,1,2019,10,4,3444,7,554875730,85
665,Excuses,"Intense, AP Dhillon, Gurinder Gill",3,2020,7,24,272,4,327498031,21
666,Cigarettes,Juice WRLD,1,2021,12,10,975,0,185408548,0
667,"Cayï¿½ï¿½ La Noche (feat. Cruz Cafunï¿½ï¿½, Abhir Hathi, Bejo, EL IMA)","Quevedo, La Pantera, Juseph, Cruz Cafunï¿½ï¿½, Bï¿½ï¿½jo, Abhir Hathi",7,2022,1,14,1034,1,245400167,5
668,California Love - Original Version (Explicit),"Dr. Dre, 2Pac, Roger",3,1995,12,28,18773,0,579395142,17
669,Forgot About Dre,"Eminem, Dr. Dre",2,1999,1,1,19067,0,675039469,15
670,Down Under (feat. Colin Hay),"Luude, Colin Hay",2,2021,11,19,3541,2,252871192,13
671,Mujeriego,Ryan Castro,1,2021,12,17,1492,0,231996128,63
672,HUMBLE.,Kendrick Lamar,1,2017,3,30,33206,1,1929770265,114
673,Stan,"Eminem, Dido",2,1999,11,21,17115,0,918915401,63
674,Contection,"GODZZ__-, Zakaria",2,2020,1,16,6955,0,1180896317,45
675,Swim,Chase Atlantic,1,2017,10,4,2742,0,498960285,1
677,Numb Little Bug,Em Beihold,1,2022,1,28,2026,0,258714692,3
678,212,"Mainstreet, Chefin",2,2022,1,15,352,0,143139338,0
679,Problemï¿½,"Alvaro Diaz, Rauw Alejandro",2,2021,10,22,1517,0,209768491,7
680,Bussin,"Nicki Minaj, Lil Baby",2,2022,2,11,847,0,64714573,0
681,Worst Day,Future,1,2022,2,11,910,0,50746620,3
682,Malvada,Zï¿½ï¿½ Fe,1,2022,1,28,601,0,154119539,73
683,Hrs and Hrs,Muni Long,1,2021,11,19,1800,0,181328253,36
684,Alien Blues,Vundabar,1,2015,7,24,1930,0,370068639,0
685,Thinking Out Loud,Ed Sheeran,1,2014,1,1,33032,0,2280566092,129
686,Still Don't Know My Name,Labrinth,1,2019,10,4,6332,0,563902868,116
687,Christmas Tree,V,1,2021,12,24,509,9,317622165,106
689,When I R.I.P.,Labrinth,1,2019,10,4,2578,0,203680270,67
690,Do We Have A Problem?,"Nicki Minaj, Lil Baby",2,2022,2,4,1064,0,81350745,1
691,Forever,Labrinth,1,2019,10,4,3618,0,282883169,86
692,Gospel (with Eminem),"Eminem, Dr. Dre",2,2022,2,4,1040,0,64787943,0
693,Seï¿½ï¿½o,"Shawn Mendes, Camila Cabello",2,2019,6,19,15010,2,2484812918,50
694,NEW MAGIC WAND,"Tyler, The Creator",2,2019,5,16,4708,0,461437791,7
695,Adore You,Harry Styles,1,2019,12,6,13454,1,1439191367,71
696,La Santa,"Daddy Yankee, Bad Bunny",2,2020,2,29,4890,20,759208783,42
